id,word,question_type,question_instruction,question_text,choices,correct_choice,tip_short,tip_long,level,frequency
e(NTUckikn,rivalry,Apply the Meaning,,What circumstance would most likely cause a rivalry between two people?,Two soldiers are feeling terribly homesick. | Two brothers are enjoying an entertaining movie. | Two workers are planning to retire from their jobs. | Two athletes are trying to win the same prize.,Two athletes are trying to win the same prize.,"In this question, rivalry is a noun that means the act of competing as for profit or a prize.","Rivalry is the act of competing for the same thing against another person. Your rivalry with your older sister is amusing to the family but very annoying to her. Rivalry comes from the noun rival, the person you compete against. Often a rivalry starts when people want the same reward — and their talents are just about equal. Your rivalry for the lead in the play at the local theater isn't between you and George Clooney — it's between you and the other guy who also had a great audition.",6,0.001226994
JwQ+<_%9sj,retire,Fill in the Blank,,Recent changes to the law mean that workers cannot be forced to ________ when they reach state pension age.,retire | network | consult | unite,retire,"In this question, retire is a verb that means to stop performing one's work or withdraw from one's position.","If you stop working by choice and leave your position or occupation, you retire. If you are lucky, you can retire early in order to sail around the world, but most people can't retire until they are old enough to collect retirement benefits. If you go to bed in the evening, you retire. If your younger siblings are being loud and obnoxious, you can retire to the basement to get some privacy and quiet. If something is withdrawn from circulation, it can also be retired. When a beloved player leaves a sports team, often the number assigned to him or her is retired and no one else can use that number.",1,0.014285714
AzOIaC?[Q?,undoubtedly,Apply the Meaning,,Which of the following undoubtedly takes place in a life?,a person's birthday | a person's rise to fame | a person's marriage | a person's college graduation,a person's birthday,"In this question, undoubtedly is an adverb that means certainly.","Undoubtedly means certainly. If you are undoubtedly beautiful, then everyone agrees you are attractive. No one could think otherwise. There are a lot of things in life that people doubt. However, when you're sure of something or feel strongly about it, this is a handy word. A beautiful spring day is undoubtedly wonderful. Dogs undoubtedly love to chase squirrels. Adults undoubtedly love to drink coffee in the morning, and kids undoubtedly love to get a day off from school. You are undoubtedly aware that this is a long explanation for something as simple as this word.",3,0.003937008
DO:!Ja8{k(,potent,Fill in the Blank,,"As well as yielding energy, it also prevents what is ________ greenhouse gas from being released into the atmosphere.",a potent | a voluntary | a gigantic | an editorial,a potent,"In this question, potent is an adjective that means having a strong physiological or chemical effect.","Potent means really strong, but not like a body builder. Use potent instead to describe things like intense smells, powerful magic potions, and very influential people. From the Latin potentum, meaning “powerful,” potent is just that: having tremendous strength or influence in either a moral or physical sense. A potent question gets to the heart of the matter and sparks serious discussion. Really stiff drinks can be potent, as can your breath after a garlicky meal. And as the composer Igor Stravinsky once asked, ""What force is more potent than love?""",2,0.008333333
y?wnj_Qp$9,level,Fill in the Blank,,"""More for my pot,"" said actor Jason Alexander after finishing the first ________ of play with a full house.",decision | return | level | agency,level,"In this question, level is a noun that means a specific identifiable position in a continuum or series.","A level is a position in a scale. Attaining a high level of unemployment is depressing, but getting to a high level on a video game is exciting. The verb level also means to flatten or destroy. For example, a mighty wind will level a grove of trees or a wrecking ball can level a building. As a noun, level notes the position of something on a scale of intensity. You feel a rising level of temperature as the sun gets higher in the sky. As an adjective, level describes something that is even and flat. A level path is easy to walk on.",1,0.015384615
JjX+S(Pv|~,explanation,Fill in the Blank,,But in recent years theoretical physicists have been inching toward a possible ________.,enchantment | suspension | explanation | merchandise,explanation,"In this question, explanation is a noun that means a statement that makes something comprehensible.","An explanation is a statement about how or why something is the way it is. If you're failing math, you'd better come up with a good explanation to give to your parents. Explanation is from the same Latin word as explain: explanare, which means make clear. Because explanation and explain are so closely related, people often try to shoehorn an extra i into the spelling of explanation. Don't. You might think that explanation has the odd spelling, but it is really the more regular of the two because there is no i in explanare.",2,0.008264463
C@z^n.eO_6,valley,Apply the Meaning,,Where would one most likely find a valley?,along river banks | near flat plains | between two mountains | along a beach,between two mountains,"In this question, valley is a noun that means a long depression in the surface of the land.","If you live in a valley, you probably get more fog than they do up in the hills around you. Fog tends to be more common down in the valley, the low area that often forms near a river. If you're into fishing, swimming, and tubing, then a valley is the place for you, because valleys usually have rivers or other streams running through them. The Napa Valley is an area in northern California that is famous for its good wine and food, though technically it's not all a valley; parts of it are quite hilly. Another famous valley, the San Fernando, lies at the foot of the hills of Los Angeles. You might have heard of the infamous ""Valley Girl."" In movies, Valley girls are usually blonde and say ""like"" and ""totally"" a lot. ""Like, oh, my God! That low, flat stretch of terrain, is like, totally a valley!""",1,0.014925373
H!E<|Fd!_W,temperate,Fill in the Blank,,"Olympic organizers have said that rain and a lack of snow have always been foreseen as a possibility because of Vancouver’s coastal, ________ climate, but they have acknowledged that they are pushing their contingency plans to the limit.",temperate | sorrowful | rebellious | narrative,temperate,"In this question, temperate is an adjective that means mild or free from extremes.","Temperate means mild, moderate. If you're a temperate person, you are calm, reasonable. If you live in a temperate climate, it's warm and sunny, but not too hot. Like other words that sound similar, temperate has to do with measurement and range. Temperatures measure how hot and cold things are and someone with a temper is hot-headed or intemperate, the opposite of this word. A temperate person's life motto is summed up by Goldilocks: not too hot and not too cold, just right.",6,0.00137931
tRXNJ`wg+X,acquainted,Apply the Meaning,,Which of the following would most likely be acquainted with maps in the course of his or her profession?,a factory worker | a physician | a ship builder | a sailor,a sailor,"In this question, acquainted is an adjective that means having fair knowledge of.","When you're acquainted with someone, it means you know each other. If you're taking the city bus and realize that you know several of your fellow riders, you could say, ""I'm acquainted with half of the passengers on this bus."" As long as you know something or someone fairly well, you are acquainted with it, so you can be acquainted with a city, a mathematical idea, or a particular poem. The trickiest thing about the word acquainted is the way it's spelled. Like the words acquit and acquire, you just have to keep in mind that a c needs to go before the qu. After you've spelled it several times, you'll be well acquainted with the correct spelling.",2,0.00591716
J&*nHMRW6y,gentle,Fill in the Blank,,"The lights dim, ________ music plays and classroom volunteers soothe the children to sleep.",decimal | gentle | slushy | tense,gentle,"In this question, gentle is an adjective that means quiet and soothing.","Use the adjective gentle to describe something that is soothing or kind, like a person with a tender nature or the soft sound of light rain. The word gentle traces back to the Latin word gentlis, meaning “of the same clan,” and at first the world was used to describe people belonging to distinguished families, who were seen as courteous and noble. Nowadays you’re more likely to hear the word used to refer to things that are calm, moderate, and without harshness. The word is often applied to people, but it can be used more broadly to describe anything that is mild, such as ""a gentle detergent"" or ""a gentle reminder.""",1,0.019230769
A?/mU})q:#,chord,Fill in the Blank,,"There’s “Mean Old Jack,” a bluesy stomp about a serial wife killer, and “Wedding Rice,” a list of someone’s transgressions intoned over glacially alternating guitar ________: “I saw you desecrating bones/destroying home after happy home.”",revisions | metaphors | reinforcements | chords,chords,"In this question, chord is a noun that means a combination of three or more notes that blend harmoniously.","In music, a chord is three or more notes that combine harmoniously. You can play chords on a piano or guitar, but not on an instrument that plays one note at a time, like a trumpet. Chord comes from the French word for agreement, accord, so in music it means sounds that go together, or agree with each other. You can also use chord figuratively. If a book ""strikes a chord"" with you, you feel connected to it. In math, a chord is the straight line that connects two points on a curve.",6,0.001187648
NQYFaG)hd/,endow,Apply the Meaning,,Which of the following would most likely endow a college?,a graduating senior | an incoming freshman | a popular dean | a wealthy alumnus,a wealthy alumnus,"In this question, endow is a verb that means to furnish with a capital fund.","To endow is to furnish, but not with furniture. If you've been endowed with something, it means you've been given a gift — most likely a gift that can't be returned or exchanged, like a sense of humor or athletic ability or trust. We usually use endow to refer to an ability or a quality, but you can endow someone with money, too. Endow is related to the word dowry, which is a gift that a man -– or sometimes a woman -– receives from his or her fiancé’s family before the wedding. The practice of giving dowries has fallen out of fashion in most Western countries, but there are still many parts of the world where it's common for the bride's family to provide the groom with an endowment of land and livestock.",4,0.00304878
DzP=V]cq7T,announce,Apply the Meaning,,How would an engaged couple most likely announce its wedding plans?,by keeping the wedding a secret | by sending out wedding invitations | by dissolving the wedding plans | by deciding upon the location of the wedding,by sending out wedding invitations,"In this question, announce is a verb that means to make known.","Announce means to make something public. Companies announce the release of new products, parents announce the marriages of their children, and school administrators announce changes to the day's schedule over the PA. Announce has some subtler meanings as well—you might inadvertently announce your attention to go for the basket by looking at it during a game. You might very intentionally announce that you are never eating pizza again, if you want everyone you know to be aware of this.",1,0.019230769
b9rOu9+mdz,mellow,Fill in the Blank,,"The grounds were busy, if not jampacked, in the early afternoon, and the atmosphere felt ________ and relaxed.",dubious | jittery | nauseous | mellow,mellow,"In this question, mellow is an adjective that means unhurried and relaxed.","When something becomes mellow, it gets softer or more relaxed. People are often said to mellow with age, meaning their aggressiveness, their sarcasm, and their short temper have given way to a more easygoing, genial manner. Wine and other foods mellow just like people, and can be described as ""having mellowed"" when they reach a full and pleasing flavor, without sharpness. The laid-back quality of jazz pieces like John Coltrane’s “My Favorite Things” is often described as mellow. Sometimes the musicians who play them are mellow too. When people are slightly and pleasantly intoxicated, they often claim to be feeling mellow, having attained a relaxed and agreeable state without even having to grow old.",6,0.001146789
Pn~1!0{z<v,subdue,Fill in the Blank,,"They were ________ by officers carrying clubs and shields, with seven people getting arrested.",harvested | subdued | alerted | accommodated,subdued,"In this question, subdue is a verb that means to put down by force or intimidation.","To subdue is to hold back, put down, or defeat. A Doberman can be subdued with a bone, but subduing a yapping toy poodle can be a mail carrier's greatest daily challenge. You can use the verb subdue in ways ranging from subtle to very forceful. If someone is angry, you might subdue him with kind words that overcome his anger. If someone is coming at you with a giant karate chop, you may be able to subdue her with a secret weapon — a knee-snap–heel-kick-floor-drop. Sub-, as in submarine means ""below"" and subdue means to bring low — to keep down literally or to calm down emotionally.",3,0.003472222
ES#J>q)%O8,challenge,Fill in the Blank,,He glanced around as if daring any of them to ________ him.,challenge | render | index | establish,challenge,"In this question, challenge is a verb that means to issue a call to engage in a contest or fight.","A challenge is something that puts you to the test — like running your first marathon or reading War and Peace. Challenge, as a verb, is derived from a Latin word meaning ""to accuse falsely,"" and it is still used much as it was in the 13th century, in the sense of questioning whether something is true or right. Students sometimes challenge a weeknight curfew, and lawyers might challenge the evidence submitted by the other side in a lawsuit. Challenge is also used as a noun for a competition in which people challenge one another to prove that they’re the best at something.",2,0.008849558
vZJOx=TB#X,coordinate,Fill in the Blank,,"Thus, in the tenth century France was partitioned among nearly two hundred overlords, all exercising equal and ________ powers of sovereignty.",aquatic | apathetic | quizzical | coordinate,coordinate,"In this question, coordinate is an adjective that means of equal importance, rank, or degree.","The word coordinate is all about getting things in order. Are your ducks in a row? Well, then you know what it means to coordinate something. And if you know exactly where to drop the bomb, then you know what the coordinates are. Coordinate is one of those words that can mean very different things but is rarely misunderstood in context. It’s a great way to describe the work of organizing, planning, and strategizing. When synchronizing the needs of two distinct groups, for instance, it is necessary to coordinate priorities and schedules. And as you speed down the highway, listening to the serene voice on your GPS announce the coordinates of your destination, chances are you don’t think she’s organizing resources.",5,0.001766784
Ow1qIR5-p,fence,Apply the Meaning,,Where would a fence most likely be placed?,around a department store | around the yard of a house | between the seats of an automobile | between the floors of a building,around the yard of a house,"In this question, fence is a noun that means a barrier that serves to enclose an area.","A fence is a usually wooden or metal structure that encloses a yard, pasture, or other area. Many people with back yard swimming pools put fences around them to make sure small children don't fall in. The difference between a fence and a wall is that you can almost always see through a fence, at least to some degree, while a wall is solid. You can use fence as a verb too: ""I think I'll fence my yard in, because my chickens keep wandering off."" If someone calls you a fence, though, they mean you're selling stolen goods, and if you fence professionally, you participate in the sword fighting sport of fencing.",3,0.005263158
Q}W`wB`Vyz,barely,Fill in the Blank,,"Japan and South Korea are locked in a territorial dispute over two tiny, ________ inhabited islands in the Sea of Japan.",earnestly | desperately | sorely | barely,barely,"In this question, barely is an adverb that means in a sparse or scanty way.","Something barely there is hardly there at all. So a barely dressed person is nearly naked. Barely is a word meaning hardly, nearly, scarcely, or marginally. If there is barely a dusting of snow, there is hardly any snow at all. If your team barely won a game, then they came really close to losing. A person who is barely dressed is scantily dressed: hardly dressed at all. If you barely missed an ice cream truck, then you missed it by seconds. This is a word for near misses and close calls.",3,0.003344482
"G(f,_lr9A+",peasant,Fill in the Blank,,They say that they are fighting for communist rule and the rights of poor ________ and the landless.,peasants | anchorages | assistants | advocacies,peasants,"In this question, peasant is a noun that means one of a class of agricultural laborers.","If you enjoy reading tales set in the Middle Ages, you’ve probably encountered your fair share of knights, dragons, and peasants, or residents of the countryside. During the Middle Ages in Europe, most members of the population were peasants who lived a meager existence, working farmland that was owned by wealthy noblemen. Peasant is still used sometimes today to describe a relatively poor person who works as a farm laborer. Peasant can also be used to mean “an unsophisticated and ill-mannered person,” so when using this word, be sure your intended meaning is clear.",2,0.005405405
"A,R[S<:#;m",detest,Fill in the Blank,,"While many in Marja ________ the Taliban, they are just as angry at the impotence of the Afghan government to better their lives despite years of promises.",freight | pollute | sprinkle | detest,detest,"In this question, detest is a verb that means to dislike intensely.","If you detest something, you dislike it intensely. The word can apply to things and also to people. You might detest your ex-boyfriend and you might also detest rainy Mondays and broccoli. Detest comes from the Middle French word détester, meaning ""to curse, to call God to witness and abhor."" Though the words detest and hate are interchangeable, the word hate is much more common, which has caused it to lose some of its hateful impact. Detest is used more sparingly, reserved for cases where no other word will do, where your feelings of dislike are so powerful that they need just the right word to sum them up.",5,0.00203252
Ej(}Ym87W$,exhort,Fill in the Blank,,He ________ them to finish the job on health care despite fierce criticism from Republicans and fears among some Democrats that they could pay a political price for passing the legislation.,indicted | exhorted | exonerated | intrigued,exhorted,"In this question, exhort is a verb that means to spur on or encourage especially by cheers and shouts.","French roots for the word exhort mean ""thoroughly encourage,"" so to exhort is to fill up with encouragement! ""When he heard the crowd exhort him with stomping and cheers, he knew that he could finish the marathon."" Some synonyms for exhort include stimulate, excite, and urge on. Words and shouts can exhort, and this is especially true when the recipient of those chants fears coming up short with an effort. Exhortations may make the difference between winning or losing and marching on or giving up. A sergeant might exhort his troops after a defeat just as a dad can exhort his daughter after a missed note during a piano recital.",5,0.001680672
KZ>l)vA7>1,supposition,Fill in the Blank,,The American weight loss industry extracts $60 billion every year from the ________—almost always false—that our flesh can be disappeared forever.,concussion | indigestion | supposition | fragrance,supposition,"In this question, supposition is a noun that means a hypothesis that is taken for granted.","A supposition is a guess or a hypothesis. Your supposition that your kids will automatically wash their hands before dinner is probably false. You'd best remind them to do it or risk dirty hands at dinner. What's the difference between an assumption and a supposition — both nouns that are often taken as synonyms for each other? An assumption is an idea or theory that is usually made without proof. A supposition, on the other hand, has the connotation that the idea or theory is testable and provable. If you are to meet someone named Hunter, you may make the assumption that you are meeting a man. But if you know that Hunter lives in an all-female dorm, you may have the supposition that Hunter is a woman.",6,0.001449275
r6cSfD#S!|,simple,Fill in the Blank,,"When it comes to aviation incidents, things are seldom as ________ as they first seem, or as the media frames them.",simple | distant | cheery | former,simple,"In this question, simple is an adjective that means easy and not involved or complicated.","Simple refers to something that's easy and uncomplicated, without too many steps to follow. Simple comes from the Latin word for single (simplus). Simple things are often solo, like a simple dress or directions with one step. A teacher might advise you to KISS (Keep It Simple, Stupid). What could be bad about a word for something easy? Well, it's not that simple. It can be an insult. If you call your little brother simple when he can't tie his shoes, you mean he isn't very smart. Rude!",1,0.041666667
z@B1j!A)vd,throng,Fill in the Blank,,"The BBC's David Loyn says the streets of the capital are ________ with homeless people, sleeping in the open and walking for hours for what food and water is available.",stumbled | thronged | interweaved | receded,thronged,"In this question, throng is a verb that means to press tightly together or cram.","A throng is a crowd of people or animals. On the crowded platform, the throng of passengers attempted to push their way into the already overcrowded subway car. When used as a noun, throng means a tightly packed crowd of people or animals. As a verb, it means to push together or squeeze into an area. The science fiction movie fans thronged into the auditorium when they heard their favorite actor had entered the building. The word comes to us from the Middle English term meaning ""push"" or ""force one's way,"" which is exactly what you'd have to do if you got stuck inside a throng of people.",4,0.003205128
DZ0ly}RQyV,fugitive,Apply the Meaning,,Which of the following would most likely be considered a fugitive?,the executor of a will | a prisoner serving life | a flammable object | a thief on the run,a thief on the run,"In this question, fugitive is a noun that means someone who is sought by law officers.","Someone who flees or runs away from the police to avoid capture is a fugitive. ""Authorities were looking for three men who escaped from prison today. Authorities believe the three fugitives may be disguised as nuns and advise the public to be careful."" Although a fugitive can specifically be someone fleeing from the police, the noun can also refer to anyone who is fleeing from an untenable situation. ""The family asked for asylum in the United States because they were fugitives from their own oppressive government."" As an adjective, the word can mean ""fleeing or fleeting."" ""Many people helped the fugitive slaves to safety."" ""At night, he was plagued with fugitive thoughts: they seemed important when he woke from sleep, but by morning he had forgotten them.""",4,0.002617801
ukMM}#lV1T,perform,Fill in the Blank,,"As the interface between business and academia, business schools will be playing a role that neither business nor academia on their own can ________.",perform | garnish | flatten | slay,perform,"In this question, perform is a verb that means to carry out an action.","To perform most often means to sing, dance act or put on any kind of show. Perform also means, however, to carry out almost any function or action — to do something, in other words. Parents love to watch their kids perform. Nothing delights mommy or daddy more than watching junior sing or dance in the school play. Later in life, though, they'll be happy when their kids perform acts of kindness or when they perform the duties required of them by their jobs. ""The surgeon entertained the other doctors when he performed an aria from Rigoletto while he performed an appendectomy."" Now that's impressive.",1,0.023809524
"B{+~BJhs,O",patient,Fill in the Blank,,"Thomas fidgeted on his feet, wondering how Newt could stand there, perfectly ________ and still, staring into nothing but darkness.",patient | jittery | urban | trivial,patient,"In this question, patient is an adjective that means enduring trying circumstances with even temper .","You are patient if you don't get frustrated or annoyed when you have to wait or deal with difficulties. The band director may show patient leadership, but a football coach uses other methods with his team. It may be difficult to wait for something that takes a long time or deal with someone who is annoying, but if you are patient, you endure these things calmly and without frustration. Endure is the keyword here as patient comes from the Latin verb pati ""to suffer, endure."" Think of the patient way a chess player wins a game — calmly, steadily and willing to wait for the right time to act.",1,0.028571429
"Mjy%/#L,RR",sprinkle,Apply the Meaning,,Which of the following would be considered closest to a sprinkle?,a lightning storm | a blizzard | a monsoon | a light drizzle,a light drizzle,"In this question, sprinkle is a noun that means a light shower that falls in certain locations.","A sprinkle is a light shower of something, often water. It’s also a verb that means to gently scatter something. A sprinkle of snow won’t cause school to close, but a sprinkle of fairy dust could transport you to a magical land. When there’s a sprinkle of rain, you should bring an umbrella just in case it turns into a downpour. A sprinkler causes a sprinkle of water to fall on the flowerbeds, and if it’s really hot, it can be fun to play under. At the Memorial Day parade, the firefighters might sprinkle confetti over the crowd — and if you’re lucky, they’ll sprinkle candy, too. Speaking of candy, a sprinkle is also a tiny treat often sprinkled on your ice cream.",5,0.002061856
4i>z{<YF%,partition,Fill in the Blank,,"The office was empty, but the lights were on, and I could hear a radio playing behind a plywood ________.",partition | stadium | quarry | highway,partition,"In this question, partition is a noun that means a vertical structure that divides or separates.","A partition is something that divides space. When your younger brother decides to stop bathing, setting up a partition between his side of the room and yours seems like a good idea...until you realize your partition is not air-tight. Partition can be used as a noun or as a verb. As a noun, it usually refers to a physical barrier between spaces. As a verb, to partition is to separate into sections — like to partition an office space into different work spaces. One can also partition something that does not involve physical space — like when you partition school life from home life, you are splitting your life into two parts that don’t intersect.",6,0.00118624
Ko9(NQYq#7,envelop,Fill in the Blank,,"The first explosion toppled large concrete blast-walls like dominoes outside the Sheraton, by the Tigris River, causing a huge cloud of dust to ________ the hotel.",forfeit | envelop | infer | wrench,envelop,"In this question, envelop is a verb that means to enclose or enfold completely with or as if with a covering.","When something envelops you, it wraps around you. The Snuggie Blanket is so popular because it envelops your body, leaving only your head uncovered. Sure, it looks dorky, but it keeps you extra warm. You probably noticed that envelop looks just like the noun envelope, minus that last letter ""e"", and that's an easy way to help you remember its meaning, too. Picture what an envelope does — it seals a letter completely inside, or envelops it. Envelop can also be used in a symbolic way, to describe something that consumes or occupies your mind. If the pretty girl you just met starts to envelop your thoughts, your work will suffer because you can't concentrate. Envelop comes from the late 14c. word envolupen, meaning ""be involved in.""",6,0.001457726
oq@:=RB}|1,aloof,Fill in the Blank,,"In contrast to his ________ and abrasive predecessor, J. P. Garnier, Mr. Witty, a father of two teenagers, moved his office atop the London headquarters down to the ground floor, and he sometimes eats in the cafeteria or runs five miles at lunch.",naughty | aloof | bleak | ranging,aloof,"In this question, aloof is an adjective that means remote in manner.","Someone who's aloof isn't warm and friendly, instead being distant and reserved. That emotionally cold and detached fellow who keeps to himself, drinking espresso and reading French philosophy, would best be described as aloof. In Middle English, aloof was originally a nautical term; the loof (now spelled luff) is the windward side of a ship. Smart sailors wanting to avoid a hazard on the leeward side would give the order, ""A loof!"" From this command we get the idea of steering clear of something (or someone). In modern usage the word has taken on a negative connotation: an aloof person is often considered cold or snobby.",6,0.001215067
z:Z$PW7T#G,belief,Fill in the Blank,,"In the first place, I wish to state my firm ________ that poetry should not try to teach, that it should exist simply because it is a created beauty, even if sometimes the beauty of a gothic grotesque.",mentality | belief | imperialism | genius,belief,"In this question, belief is a noun that means a vague idea in which some confidence is placed.","A belief is an idea one accepts as being true or real. Many children have a strong belief that the Tooth Fairy really does exist. The noun belief replaced the Old English word geleafa, meaning “belief, faith,” in the late 12th century. A belief is an idea one usually holds with conviction and importance. In a religious context, the Ancient Greeks held the belief that many gods existed, controlling their fate, while Christianity began with the belief that only one God exists. You can also have belief in yourself in the face of a challenge.",1,0.010989011
o/2AoPs_fX,newcomer,Apply the Meaning,,Which of the following people would most likely be considered a newcomer?,the person who has started a support group for new mothers | the person who introduces the new members at club meetings | the person who has just joined the book club | the person who returned to the choir after a long hiatus,the person who has just joined the book club,"In this question, newcomer is a noun that means one who has only recently begun to take part in an activity.","When you show up at your first meeting of the local swim club and you're the only one who didn't bring a towel, it may be because you're a newcomer, or someone who's new at participating in a particular group. When you're a newcomer, you're an outsider just joining an activity or group. There are a lot of great words that have the same meaning as newcomer, like neophyte, rookie, and Johnny-come-lately. One popular slang term for newcomer is newbie, which is often shortened on the Internet to noob.",6,0.001199041
N~mMYpo{qf,preserve,Apply the Meaning,,Which of the following do police officers try to preserve?,disorder | crime | peace | traffic,peace,"In this question, preserve is a verb that means to keep or maintain in unaltered condition.","When you preserve something, you maintain its condition, like trying to preserve your good health by exercising regularly and eating right. The verb preserve describes keeping something as it is now, without a decline in quality. It can also refer to keeping something safe from harm, as in “The group worked hard to preserve the regional ecosystem.” When you preserve food, such as fruit, you keep it from rotting. Jellies and jams are preserves, the noun form. A preserve can also be lands set aside, or preserved, as animal habitats.",1,0.013888889
b;L.#u-|X(,anatomy,Fill in the Blank,,"The study of the ________ of mummies has thrown a very interesting light upon the diseases of the ancient Egyptians, one of the most prevalent of which appears to have been osteo-arthritis.",mythology | fantasy | apparition | anatomy,anatomy,"In this question, anatomy is a noun that means the study of the structure of animals.","If you're studying anatomy you're studying animals’ bodies and you're probably dissecting them, too. You might study the anatomy of a pig to see how it relates to human anatomy. You’ll find that only one of them has a snout. Ever heard of Gray's Anatomy — not the TV show, but the 1858 medical textbook by Henry Gray? It’s been revised many times, but it’s still the standard text, with detailed descriptions of the parts of the human body. The word anatomy can apply to anything you're analyzing in detail. If you're writing an anatomy of your piano, you'll describe the parts and how they work. Anatomy goes back to the Greek roots ana, meaning ""up,"" and temnein ""to cut.""",6,0.001438849
l;v4.GC3@E,abate,Apply the Meaning,,Which of the following is most likely to abate?,a fisherman putting a worm on a hook | a politician denying involvement in a scandal | a storm lessening in intensity | a bike tire inflating,a storm lessening in intensity,"In this question, abate is a verb that means to become less in amount or intensity.","Something that abates becomes fewer or less intense. Your enthusiasm for skiing might abate after falling off a ski lift and getting a mouthful of snow. Abate comes from the Old French verb abattre, ""to beat down,"" and means to reduce or become less intense or numerous. As an intransitive verb, it is often used with something physically, emotionally, or figuratively violent, as in ""the flood of fan mail began to abate."" Using it transitively, if you take measures to abate pollution or noise, you reduce them. Pronounce abate with the stress on the second syllable (uh-BATE).",6,0.001526718
DG2j|!tn}),ownership,Apply the Meaning,,Which of the following is the most likely evidence of ownership?,the demand for supplies | a desire for an object | a sales receipt for an item | the return of merchandise,a sales receipt for an item,"In this question, ownership is a noun that means the act of having and controlling property.","Ownership is the state of owning something. Anything that people own or possess gives them the quality of ownership. Wars are often fought over the ownership of land. When you buy a book, you own it. Add the suffix ship to owner, and now you have ownership of that lovely book. If you buy a house, you have ownership of it. Politicians like to talk about the “American dream of home ownership.” If you buy a lottery ticket, you have ownership of that, too. If you win big, you’ll have ownership of lots of cash and then you, too can realize that American dream.",6,0.001470588
"u_K#$,[>.A",flex,Fill in the Blank,,"Khalifa tried to ________ her knee, which bent only to about 90 degrees before causing sharp pain.",sculpt | flex | scoff | fray,flex,"In this question, flex is a verb that means to bend a joint.","When you flex something, you bend or contract it. To appear super tough, you might flex your archery bow while flexing your muscles. Things curve and bend when they flex, whether they're human joints or objects made of a bendable material like plastic or soft wood. Another way to flex is to tense or contract a muscle: ""The weightlifter flexes her biceps."" Experts suspect that flexible came first, from the Latin root flexibilis, ""flexible, pliant, or yielding,"" and figuratively, ""tractable, or easily influenced.""",4,0.002237136
JkYq|U@S^N,practicable,Apply the Meaning,,Which of the following would most likely be considered the most practicable item to take on a hike?,a cake | a diamond necklace | a map | a hair dryer,a map,"In this question, practicable is an adjective that means usable for a specific purpose.","Something that is practicable is something that can be reasonably done. Look at the word within the word, practice, plus the suffix -able, and you have something that is able to be put into practice, or practicable. Practicable is an adjective built from the word practice and can thus be traced to the Medieval Latin verb practicare and the Medieval French pratiquer, both of which meant ""to practice."" With the addition of a ""c"" to remind us of ""practice,"" the French praticable, ""able to be put into practice,"" became the English practicable.",5,0.002004008
oJ1-2tFm}9,dogma,Fill in the Blank,,That no works are attributed to a known artist adds to the sense of a folk culture animated not by authoritarian ________ or academic formulas but by genuine religious feeling and beloved traditions.,dogma | ingredient | bait | vacancy,dogma,"In this question, dogma is a noun that means a doctrine or code of beliefs accepted as authoritative.","Dogma means the doctrine of belief in a religion or a political system. The literal meaning of dogma in ancient Greek was something that seems true. These days, in English, dogma is more absolute. If you believe in a certain religion or philosophy, you believe in its dogma, or core assumptions. If you belong to a cult that believes that cupcake consumption is the only true path, then you follow the cupcake dogma. Dogma, once adopted, is accepted without question. Go eat cupcakes!",5,0.001814882
wAKWU5c99*,ballet,Fill in the Blank,,"Owing to the very judicious plan of dividing the two acts of the opera with ________, the pauses between the performances are very short, the singers in the opera having time to repose themselves and change their costume, when necessary, while the dancers are executing their pirouettes and exhibiting their graceful steps.",a presumption | a repeal | a ballet | an anecdote,a ballet,"In this question, ballet is a noun that means a theatrical performance of a story by trained dancers.","Ballet is a form of dance that uses scenery, music, and the movements of the dancers to tell a story. Learning classical ballet takes years of training. Ballet also refers to the music written for a ballet. Famous ballets include ""The Nutcracker,"" ""Swan Lake,"" and ""Romeo and Juliet."" The word ballet comes from the French word ballet, originally ballette, which itself is from the Latin word ballare, which means ""to dance."" The word ball, meaning a festive party with dancing, comes from the same Latin word.",6,0.001175088
wjamg;8DwH,audience,Fill in the Blank,,"He glared at the ________, and they began—first hesitantly and then loudly—to applaud.",republic | mission | labor | audience,audience,"In this question, audience is a noun that means a gathering of spectators or listeners at a performance.","An audience can be people watching a performance, or an opportunity to speak with someone important, like an audience with your favorite actor at a ""meet and greet"" event. The noun audience can describe all the people watching a performance, or the part of the general public interested in a specific type of information or entertainment. For example, the audience for a show about raising children might be parents or other care-givers. Finally, an audience can be a meeting or interview, like an audience with your school's principal.",2,0.009174312
g~fL[%$@rG,rubbish,Fill in the Blank,,The poor old man's mental and physical condition afforded some grounds for the absurd ________ talked about him.,ordinance | concession | appendix | rubbish,rubbish,"In this question, rubbish is a noun that means nonsensical talk or writing.","Rubbish is a synonym for garbage or trash. The word is more commonly used by speakers of British English than by speakers of American English. The noun rubbish also means writing or speech that is worthless, untrue, or nonsense, especially in British English. Your teacher might tell you that your paper thesis is a load of rubbish if it states that Winston Churchill and Franklin Roosevelt were aliens sent from another planet to ""fix"" World War II. In British slang, rubbish is also a verb that means to criticize strongly. Don't be surprised when the professor rubbishes your paper — he's a well-known Churchill scholar.",6,0.001222494
